epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.05,1.43897,2.74937,1.6881,0.05191,0.12783,0.03374,0.00968,2.65002,131.013,4.25403,0.000472882,0.000472882,0.000472882
2,85.7513,1.70034,2.5032,1.87445,0.16795,0.24087,0.13743,0.07417,1.72334,11.3977,2.18975,0.000902229,0.000902229,0.000902229
3,125.48,1.65419,2.3842,1.87111,0.29815,0.37489,0.25874,0.13456,1.91077,7.47357,2.44746,0.00128442,0.00128442,0.00128442
4,164.914,1.59674,2.21141,1.82499,0.42164,0.36423,0.32958,0.16443,1.61929,3.5868,2.06489,0.00121679,0.00121679,0.00121679
5,204.4,1.47028,1.99384,1.71823,0.47454,0.47355,0.45343,0.26316,1.51778,2.70079,1.94025,0.00114606,0.00114606,0.00114606
6,243.764,1.42234,1.82263,1.68241,0.53499,0.53274,0.53741,0.29829,1.55885,2.11387,1.96225,0.00107532,0.00107532,0.00107532
7,283.174,1.34317,1.684,1.62462,0.66416,0.61743,0.60726,0.38246,1.31052,1.95684,1.75393,0.00100459,0.00100459,0.00100459
8,322.546,1.29793,1.58212,1.57869,0.67268,0.62948,0.67861,0.43482,1.35036,1.51552,1.77176,0.000933851,0.000933851,0.000933851
9,361.91,1.25573,1.44942,1.54878,0.69623,0.67222,0.71555,0.49463,1.26312,1.40592,1.66619,0.000863116,0.000863116,0.000863116
10,401.2,1.20868,1.36751,1.51526,0.68309,0.56432,0.62267,0.40201,1.35525,1.68584,1.72405,0.00079238,0.00079238,0.00079238
11,441.335,1.16469,1.22679,1.55961,0.68864,0.67097,0.68593,0.46064,1.30251,1.69261,1.72593,0.000721645,0.000721645,0.000721645
12,480.614,1.14317,1.18959,1.52905,0.75732,0.70608,0.75874,0.53262,1.13148,1.2778,1.5626,0.000650909,0.000650909,0.000650909
13,520.265,1.10432,1.1016,1.509,0.72831,0.74241,0.77929,0.53952,1.18279,1.27249,1.60463,0.000580174,0.000580174,0.000580174
14,559.751,1.07176,1.03515,1.48664,0.8015,0.76082,0.80228,0.55951,1.13144,1.10054,1.55329,0.000509438,0.000509438,0.000509438
15,599.109,1.02907,0.9656,1.44699,0.79919,0.75417,0.81505,0.59056,1.08116,1.02199,1.49697,0.000438703,0.000438703,0.000438703
16,638.343,0.97323,0.87468,1.40196,0.83206,0.78382,0.8461,0.59544,1.11958,0.9694,1.52554,0.000367967,0.000367967,0.000367967
17,677.647,0.9548,0.84006,1.38565,0.8368,0.79755,0.86316,0.63368,1.05177,0.93177,1.47854,0.000297232,0.000297232,0.000297232
18,716.94,0.91255,0.79048,1.36423,0.86117,0.83809,0.88955,0.66413,1.00859,0.85322,1.44394,0.000226497,0.000226497,0.000226497
19,756.255,0.8753,0.71202,1.33165,0.89141,0.81511,0.89098,0.66322,1.03359,0.8398,1.44821,0.000155761,0.000155761,0.000155761
20,795.483,0.85081,0.67783,1.3019,0.90686,0.8415,0.9007,0.68628,0.99192,0.80012,1.42022,8.50255e-05,8.50255e-05,8.50255e-05
